timestamp,userId,memTime_ms,llmTime_ms,totalTime_ms,usedShort_in_prompt,usedLong_in_prompt,shortTotal_in_db,longTotal_in_db
"2025-12-11T16:41:09.2899587+09:00",10,1433,806,2295,0,0,2,0
"2025-12-11T16:41:50.7137128+09:00",10,597,2273,2928,2,0,4,0
"2025-12-11T16:42:00.3422248+09:00",10,611,1198,1854,4,0,6,0
"2025-12-11T16:42:07.4912333+09:00",10,727,2418,3189,6,0,8,0
"2025-12-11T16:42:13.4518238+09:00",10,526,1818,2394,8,0,10,0
"2025-12-11T16:42:20.9890751+09:00",10,1165,1465,3704,10,0,10,2
"2025-12-11T16:42:34.4060035+09:00",10,766,1904,3548,10,2,10,4
"2025-12-11T16:43:06.706834+09:00",10,456,2384,4241,10,3,10,6
"2025-12-11T16:43:13.592852+09:00",10,518,2002,3606,10,3,10,8
"2025-12-11T16:43:33.5408392+09:00",10,394,2311,13955,10,3,10,10
"2025-12-11T16:43:49.784668+09:00",10,349,1629,2849,10,3,10,12
"2025-12-11T16:44:00.6733615+09:00",10,576,1799,3280,10,3,10,14
"2025-12-11T16:45:18.2058611+09:00",10,927,1487,3336,10,3,10,16
"2025-12-11T16:45:29.8080476+09:00",10,650,1962,3750,10,3,10,18
"2025-12-11T16:45:35.8620038+09:00",10,598,2858,4608,10,3,10,20
"2025-12-11T16:45:46.4720532+09:00",10,356,4663,6097,10,3,10,22
"2025-12-11T16:46:03.4350459+09:00",10,645,6333,8106,10,3,10,24
"2025-12-11T16:47:07.5138296+09:00",10,774,1684,3262,10,3,10,26
"2025-12-11T16:47:35.0862687+09:00",10,740,2261,3945,10,3,10,28
"2025-12-11T16:47:49.35921+09:00",10,625,2021,3877,10,3,10,30
"2025-12-11T16:47:58.4589569+09:00",10,439,3729,5158,10,3,10,32
"2025-12-11T16:48:05.2466731+09:00",10,441,2423,3883,10,3,10,34
"2025-12-11T16:48:13.9721383+09:00",10,719,1826,3358,10,3,10,36
"2025-12-11T16:48:22.4747518+09:00",10,426,2206,3539,10,3,10,38
"2025-12-11T16:48:35.1500783+09:00",10,395,1533,9899,10,3,10,40
"2025-12-11T16:48:47.3269879+09:00",10,831,1167,3136,10,3,10,42
"2025-12-11T16:55:39.6917671+09:00",10,776,1964,3707,10,3,10,44
"2025-12-11T16:56:03.8912542+09:00",10,643,1497,3508,10,3,10,46
"2025-12-11T16:56:17.5723199+09:00",10,514,1656,3133,10,3,10,48
"2025-12-11T16:56:38.4205066+09:00",10,678,10139,12184,10,3,10,50
"2025-12-11T16:56:49.2470702+09:00",10,945,1998,3918,10,3,10,52
"2025-12-11T16:57:41.5536149+09:00",10,418,4578,6412,10,3,10,54
"2025-12-11T17:00:23.1895239+09:00",10,716,5713,10245,10,3,10,56
"2025-12-11T17:02:43.796642+09:00",10,623,3116,4747,10,3,10,58
"2025-12-11T17:06:14.8546036+09:00",10,450,4427,7046,10,3,10,60
"2025-12-11T17:09:20.504961+09:00",10,506,3562,5375,10,3,10,62
"2025-12-11T19:50:21.0879849+09:00",10,2084,3637,7633,10,3,10,64
"2025-12-11T19:53:21.4340061+09:00",10,1266,1402,4392,10,3,10,66
"2025-12-11T19:54:05.8296388+09:00",10,1607,1990,5346,10,3,10,68
"2025-12-11T19:57:16.4565674+09:00",10,1189,2005,4110,10,3,10,70
"2025-12-11T19:57:27.352345+09:00",10,1176,2571,5414,10,3,10,72
"2025-12-11T19:57:46.2339561+09:00",10,450,1821,14525,10,3,10,74
